,Cell ID,Slice,x,y,Dist to pia,Dist to bottom,Angle,Ank1,Kcnmb2,Ankrd55,Slc32a1,Btbd11,Arx,Dlx1,Gad2,Pvalb,Pdgfra,Nxph4,Car3,Slc17a8,Syt6,Rspo1,Lratd2,Deptor,Ndnf,Chrna2,Calb1,Sncg,Th,Gad1,Slc17a7,Neurod1,Rorb,Fezf2,Adarb2,Lamp5,Vip,Lhx6,Chodl,Fa2h,Ly86,Ly6c2,Dcn,Fgfr3,Map3k7cl,Nxph1,Pcp4,Neurod6,Nrn1,Sst,Nrgn,Ptn,Cck,Synpr,Slc6a1,Dlx6,Atp1a3,Arpp19,Npy,Cxcl14,Rab3b,Cryab,Penk,Tesc,Crh,Caln1,Kcnip1,Gm11549,Ctxn1,Car4,Nfib,Id2,Igfbp6,Itpka,Ptprd,Sv2b,Vxn,Reln,Rprml,Cnr1,Cacna2d3,Plpp4,Adcy2,Kcnip4,Sparcl1,Brinp3,unused-1,unused-2
4039,270282,2,14436.5,9176.38,1158.35,19.4341,3.51955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4040,270283,2,14420.3,8692.13,1188.38,46.4193,5.37655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4041,270285,2,14460.9,9618.38,1132.81,4.4223300000000005,178.28900000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4042,270286,2,14464.1,11149.1,1047.03,93.6288,175.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,1,4,12,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,7,1,0,0,0,0,7,2,0,0,0,0,0,1,0,0,0,16,3,0,0,1,0,0,2,1,4,0,0,1,0,0,1,0,6,0,0,0
4043,270287,2,14504.8,9069.13,1170.43,31.2406,3.7143599999999997,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,5,0,1,0,1,0,2,1,0,0,0,0,0,0,4,0,0,0
4044,270289,2,14460.9,9958.81,1112.43,24.3204,179.68099999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4045,270290,2,14460.9,8921.25,1176.53,36.3236,4.40606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
4046,270291,2,14478.8,8814.0,1184.84,44.0426,4.74659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
4047,270292,2,14486.9,8515.0,1205.08,62.178000000000004,5.80233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4048,270293,2,14509.6,9727.25,1130.12,6.83033,178.878,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,13,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
