,Angle,Ank1,Kcnmb2,Ankrd55,Slc32a1,Btbd11,Arx,Dlx1,Gad2,Pvalb,Pdgfra,Nxph4,Car3,Slc17a8,Syt6,Rspo1,Lratd2,Deptor,Ndnf,Chrna2,Calb1,Sncg,Th,Gad1,Slc17a7,Neurod1,Rorb,Fezf2,Adarb2,Lamp5,Vip,Lhx6,Chodl,Fa2h,Ly86,Ly6c2,Dcn,Fgfr3,Map3k7cl,Nxph1,Pcp4,Neurod6,Nrn1,Sst,Nrgn,Ptn,Cck,Synpr,Slc6a1,Dlx6,Atp1a3,Arpp19,Npy,Cxcl14,Rab3b,Cryab,Penk,Tesc,Crh,Caln1,Kcnip1,Gm11549,Ctxn1,Car4,Nfib,Id2,Igfbp6,Itpka,Ptprd,Sv2b,Vxn,Reln,Rprml,Cnr1,Cacna2d3,Plpp4,Adcy2,Kcnip4,Sparcl1,Brinp3
1404,175.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,2,24,1,0,0,0,0,0,0,0,0,0,0,6,0,2,0,2,2,0,0,1,0,8,1,0,1,0,0,0,0,0,1,0,19,7,0,2,1,0,0,1,4,10,0,0,0,0,0,2,0,2,0
1405,176.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,4,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0
1406,177.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,6,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,0,11,0,0,2,0,0,0,0,2,4,0,0,1,0,0,1,0,3,0
1407,174.115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,3,0,0,2,16,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,16,0,0,0,0,0,15,1,0,0,0,1,0,0,0,0,0,16,4,0,2,0,2,0,4,2,3,0,0,0,0,0,0,2,2,1
1408,179.99599999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,4,0,1,0,0,0,0,3,2,0,2,0,0,0,0,0,2,0
1409,174.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13,1,5,0,1,0,7,2,0,0,0,0,0,0,0,1,0,15,5,0,0,2,1,2,3,9,1,0,0,1,4,0,0,0,2,1
1410,174.115,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,6,1,0,1,0,0,0,0,1,2,0,0,0,0,0,2,0,2,0
1411,179.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1412,177.278,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,1,0,0,0,0,9,0,0,0,0,1,0,0,0,1,0,10,5,0,1,0,0,0,5,4,1,0,0,0,0,0,0,0,4,0
1413,174.75400000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,16,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0
