,Alcam,Ank1,Ankrd55,B3galt1,Cdh9,Chodl,Cux2,Dlx1,Elfn1,Fam19a2,Fezf2,Foxp2,Gad2,Galnt14,Grin3a,Grm5,Kcnip4,Kcnk2,Kcnmb2,Ldb2,Lhx6,Lingo2,Mef2c,Mpped1,Npas1,Nr2f2,Nts,Parm1,Pcdh8,Pde1a,Prox1,Pvalb,Rorb,Satb2,Sema3e,Sez6,Slc32a1,Sv2c,Syndig1,Thsd7a,Tnni3k,Unc13c,x_um,y_um,z_um
666,5,0,0,1,0,0,14,0,1,3,0,0,0,1,1,5,1,4,0,0,0,2,15,5,0,0,0,0,0,0,0,0,3,11,0,1,0,1,4,4,0,0,3916.6061590000004,13189.017671,49.022987
667,1,2,0,1,0,0,1,1,0,2,0,0,8,2,7,0,1,0,0,0,0,0,6,2,1,0,0,5,0,1,0,1,3,2,0,0,2,0,2,1,0,0,2105.692279,13900.173849,49.344996
668,5,2,0,3,0,0,7,0,1,3,0,0,1,0,0,4,1,1,0,2,1,1,26,6,0,0,0,0,1,4,0,2,6,7,0,1,0,3,4,0,0,0,2458.38384,13833.828012,51.919166
669,2,3,1,2,0,0,7,0,0,5,0,0,0,0,1,4,0,0,0,0,1,1,12,2,0,0,0,0,0,2,1,1,5,6,0,1,0,0,4,2,0,1,5751.613668999999,12365.337343000001,37.387599
670,2,5,0,4,0,0,13,0,1,5,0,1,0,0,0,4,0,7,1,0,1,4,25,18,0,0,0,0,0,0,2,5,3,7,1,0,1,0,3,1,0,0,5670.238843,13336.071254999999,39.298216
671,7,2,1,4,0,0,10,0,0,3,0,0,0,1,0,10,0,3,0,0,0,2,17,10,0,0,1,2,0,0,0,5,2,5,1,0,2,0,7,2,1,0,5515.900534,13860.720594,42.126683
672,6,2,0,8,0,1,8,1,2,4,0,0,0,1,0,10,1,4,0,0,0,3,26,12,0,0,0,0,0,1,0,1,13,14,0,4,1,0,10,0,1,0,5250.766823,13852.858361000002,42.300505
673,1,5,1,4,0,0,8,0,3,5,0,1,0,0,3,4,0,1,0,2,0,1,14,9,0,0,0,1,0,2,1,6,0,4,0,3,3,0,3,3,0,0,5349.597789,12934.363445,49.910112
674,25,3,0,10,0,0,24,0,0,7,0,0,0,0,1,15,0,1,0,1,0,2,54,16,0,0,0,3,0,3,1,5,22,19,1,2,2,2,13,2,0,0,5107.897502000001,13474.074834000001,37.130604
675,7,3,1,2,0,0,10,0,0,3,1,0,2,4,0,8,1,5,0,1,0,3,22,4,0,0,0,0,0,4,0,3,9,3,1,2,1,0,2,1,0,0,5056.6525679999995,13167.908748,40.589821
676,3,7,0,12,1,0,16,0,1,15,3,0,1,1,0,16,4,18,0,6,0,2,72,52,0,0,1,4,0,13,2,4,25,19,1,10,1,1,12,13,0,1,5014.297988,12537.443803,38.365413000000004
677,0,1,0,4,0,0,10,0,0,2,0,0,0,1,0,3,1,6,0,0,0,1,20,4,0,0,0,0,0,0,0,6,4,7,0,1,1,0,2,1,0,0,4751.1013649999995,12285.650093,39.739435
678,6,1,1,6,0,0,24,1,1,3,0,0,1,2,1,15,0,5,0,0,0,1,35,8,0,0,0,0,0,1,0,0,5,8,0,1,0,0,9,4,0,0,4625.012713,12923.426898,44.13644
679,15,7,0,4,0,0,24,0,0,5,0,0,0,0,1,15,0,4,0,3,0,5,61,11,0,0,0,1,0,9,0,2,30,21,0,5,1,2,16,3,0,0,4458.508301,13467.594734,42.484106
680,2,3,0,7,0,0,3,1,3,4,1,0,1,0,1,1,0,3,0,0,0,0,14,6,0,1,0,0,0,2,2,7,2,3,2,0,1,0,5,2,0,0,4541.016636,12694.198079,48.337769
681,2,1,1,3,0,0,7,0,0,5,0,0,0,0,5,5,0,3,0,0,0,0,11,9,0,0,0,0,0,2,0,7,1,3,0,1,2,0,0,3,0,0,4201.355114,13089.848296,41.123915999999994
682,2,1,3,3,0,0,17,0,1,5,0,0,1,0,1,8,0,7,1,0,0,3,23,12,0,0,0,3,0,0,1,1,13,10,0,1,0,0,6,1,0,0,4211.3780799999995,12674.873336,45.772821
683,4,4,0,3,0,0,19,0,0,3,0,0,0,0,1,5,1,4,0,2,0,0,34,11,0,0,0,0,1,6,1,1,7,8,1,2,0,0,5,2,0,0,4274.548974,13841.412741,44.667362
684,2,6,0,5,0,0,6,0,1,2,0,0,0,0,3,3,1,2,0,0,1,1,9,2,0,0,1,1,0,1,0,1,5,4,0,0,1,0,3,2,0,0,5948.765845,13216.902978,36.163241
685,14,7,0,4,1,0,21,2,10,3,0,0,5,2,9,8,3,6,0,0,1,7,35,16,0,0,0,0,5,11,1,4,13,19,1,4,13,1,4,9,1,0,4801.127586,13659.607081,52.348012
686,3,0,0,4,0,0,13,0,1,8,0,0,0,0,0,17,1,7,0,1,0,4,60,19,0,0,0,0,0,2,0,4,20,14,1,1,2,0,7,7,0,0,5383.92869,12583.777859,48.274165
687,4,1,0,5,0,0,17,0,0,3,0,1,0,1,1,8,1,1,0,1,0,1,32,9,0,0,0,2,0,0,1,4,9,6,0,0,0,0,4,2,0,0,5686.525646,12662.357477,37.849415
688,2,6,0,2,0,0,8,0,0,3,0,0,2,1,0,6,1,2,0,0,0,0,15,10,0,0,1,0,0,0,2,2,5,1,1,0,1,0,1,1,0,1,4467.300361,13034.068223999999,53.510928
689,5,2,0,3,0,0,12,0,1,6,0,0,1,0,0,5,3,3,0,1,0,4,33,11,0,0,0,1,0,0,0,2,3,14,0,1,1,0,5,3,0,0,5610.520186,13561.028341,54.477655000000006
690,10,6,1,5,0,1,8,0,1,7,0,0,1,3,0,9,1,4,0,1,0,1,27,7,0,0,0,1,0,1,0,4,4,10,1,0,0,0,3,1,0,0,5011.089439,12816.620782,59.075984
691,3,0,1,2,0,0,5,0,2,2,0,0,0,0,0,2,0,1,0,1,0,4,10,2,1,0,0,2,0,0,0,2,6,4,0,1,0,0,1,2,1,0,4169.694327,13608.735884,61.954924
692,3,2,1,9,0,1,18,1,4,5,0,0,0,3,2,5,1,2,0,0,0,1,26,6,0,0,1,1,0,0,0,3,5,4,2,6,0,1,3,2,0,1,7396.421087999999,13818.706431999999,45.104407
693,6,0,1,3,1,1,28,0,1,9,2,0,0,0,1,5,6,6,1,0,0,2,27,19,0,0,0,2,0,0,0,1,11,7,0,2,2,1,13,2,0,0,7162.953631,13027.074873,42.326021000000004
694,1,2,0,5,0,1,8,0,1,3,0,0,0,1,2,1,1,6,0,0,0,1,20,8,0,0,1,1,0,1,0,2,9,4,0,2,0,0,1,5,0,0,7301.373685,12698.424069,35.917325
695,4,0,1,0,0,0,3,0,2,0,0,1,0,0,0,3,0,1,0,1,0,2,16,5,0,0,0,0,0,1,0,5,3,0,0,0,1,0,2,0,0,0,7093.438426000001,12568.917584,34.627466
696,0,0,1,4,0,0,4,0,0,0,0,0,0,0,1,5,2,1,0,0,0,0,12,8,1,0,0,0,0,1,0,2,9,3,0,1,0,0,1,2,0,1,7128.185587999999,12288.804771,45.832881
697,3,1,0,3,0,0,12,0,0,2,0,0,0,0,1,6,0,3,0,1,0,2,26,8,1,0,0,0,0,1,0,2,7,3,0,1,2,0,4,7,1,0,6995.852319,13329.985177,36.289190000000005
698,3,3,4,1,0,0,2,4,10,0,0,0,19,3,15,2,1,5,1,0,3,4,11,12,0,0,0,0,5,3,0,5,1,2,1,1,32,0,1,7,1,1,6997.279076000001,13872.777401,29.418402
699,6,3,0,5,0,0,9,1,3,8,0,0,0,1,2,7,3,2,0,0,0,2,23,4,2,0,0,0,0,3,1,2,6,6,0,1,0,0,2,1,0,0,6868.351534,12789.149913,37.230109000000006
700,14,2,0,9,0,0,32,2,2,9,0,0,0,0,0,9,3,11,0,1,0,7,65,20,0,0,0,3,0,2,1,2,15,13,0,2,0,1,16,12,0,0,6638.165403,13153.397856,41.334990999999995
701,10,2,1,6,0,0,9,0,1,2,0,0,0,2,0,2,0,6,0,3,0,1,25,12,0,0,0,1,0,2,0,2,8,4,1,1,0,0,7,0,0,0,6336.27744,13590.453413,40.641382
702,5,2,0,1,0,0,3,0,3,2,0,0,0,0,1,3,1,4,0,0,1,1,8,5,0,0,0,0,1,1,0,3,3,0,0,1,0,1,4,1,0,0,6708.085885,13787.250362,49.259671000000004
703,4,0,0,4,0,0,6,0,2,7,0,0,0,2,1,3,1,4,0,1,0,4,15,7,0,0,0,0,0,0,0,1,4,3,0,1,0,0,3,3,0,0,7521.975729000001,13163.344665,56.060575
704,1,0,0,1,0,0,9,0,0,5,0,0,1,2,0,0,2,1,1,0,0,1,13,6,0,0,0,1,0,1,0,3,3,3,0,0,0,0,0,2,0,0,6829.211179000001,12446.609818,70.411204
705,4,1,1,1,1,0,10,0,2,1,0,1,4,2,4,0,1,0,1,0,0,2,8,4,0,0,0,0,0,1,0,2,9,3,2,0,4,1,1,1,0,1,7059.948974,13723.962563,51.595545
706,2,2,1,2,0,0,15,0,0,1,0,0,0,2,1,3,0,4,0,2,0,0,13,1,0,0,0,0,0,2,0,3,3,6,0,2,0,0,4,0,0,0,9938.931094,13311.223162,36.150038
707,4,2,0,5,0,1,11,0,0,4,0,0,1,0,0,6,2,6,0,0,0,0,14,2,0,0,0,0,0,3,0,6,2,10,0,0,0,0,5,0,0,0,9811.031048,13562.770271000001,38.65943
708,3,1,0,1,0,0,8,0,1,2,0,1,2,0,0,7,1,2,0,1,0,0,11,9,0,0,1,2,0,1,0,0,4,5,0,0,0,0,3,2,0,1,9718.627256,13948.05935,49.756015999999995
709,4,4,0,6,0,1,2,0,0,4,2,1,2,0,0,6,2,15,0,3,0,2,28,25,1,0,0,4,0,40,0,3,7,10,0,20,1,1,4,2,0,0,9708.642838,12694.334474,42.681732000000004
710,3,1,0,3,0,0,6,2,0,2,0,0,0,0,0,8,1,4,1,1,0,2,19,5,0,0,0,3,0,0,0,2,3,12,0,2,0,0,4,2,0,0,9463.331422,13520.069234999999,39.62235
711,10,3,0,12,0,0,36,0,1,7,0,1,2,0,2,28,8,16,0,3,0,2,55,15,0,0,1,4,0,4,0,1,9,26,0,4,2,0,13,7,0,3,9057.13592,12837.271618,47.225413
712,8,8,0,5,2,2,8,0,7,3,0,0,14,1,5,12,3,6,1,1,1,2,25,15,0,1,0,1,6,7,0,10,9,5,0,2,24,0,4,3,0,0,9068.032099,13802.280681,55.996688
713,12,4,2,8,0,0,30,1,5,4,2,0,0,0,1,22,8,15,0,3,0,1,52,29,1,1,0,1,2,6,0,5,17,17,0,2,0,2,8,6,1,1,8743.177826000001,13802.738383000002,48.223664
714,0,2,0,2,0,0,7,0,0,1,0,0,0,0,0,6,0,4,0,0,0,0,16,9,0,0,0,0,0,1,1,5,2,5,0,2,0,0,2,2,0,2,8467.190120000001,12272.273154,41.823271999999996
715,3,2,0,10,1,0,20,0,1,8,0,0,0,0,1,21,3,11,1,1,1,0,61,15,0,0,1,2,0,3,0,2,11,13,1,5,3,0,10,8,1,0,8524.311914,12664.337236,53.450662
716,4,2,0,1,0,0,6,0,1,0,0,1,0,1,2,10,1,2,0,0,0,2,17,9,0,0,1,0,0,0,0,4,11,5,0,3,2,0,3,0,0,0,8334.421142000001,13953.167509,46.901439
717,2,2,0,2,0,0,7,0,0,3,0,0,0,0,0,11,3,3,0,0,0,0,30,3,0,0,0,1,0,4,1,2,3,11,1,4,2,0,5,4,0,1,8255.575611,12459.413219,54.705496999999994
718,3,0,1,1,0,0,11,0,0,4,0,1,0,1,2,6,0,1,0,1,0,0,19,10,0,0,0,0,0,0,0,2,8,10,1,1,0,0,7,1,0,1,8182.990890000001,13509.041608000001,38.479413
719,8,1,0,1,0,0,8,0,0,0,0,0,0,2,1,2,0,2,0,1,0,3,11,4,0,0,0,0,0,7,1,2,1,6,0,3,0,0,4,0,0,0,9946.708323,12813.985389,49.47291
720,7,1,0,0,0,0,8,1,1,1,0,0,1,0,1,5,0,1,0,1,0,1,13,13,0,0,0,1,0,3,0,2,7,1,0,6,2,0,3,0,1,0,9468.095355,13915.626201,50.931146000000005
721,9,4,0,5,0,1,21,0,2,7,0,0,1,0,1,16,2,3,0,1,0,1,43,12,1,0,0,0,1,3,0,3,15,10,1,4,4,2,7,2,0,0,8505.193596,13502.81836,50.818005
722,1,2,1,4,0,0,22,0,3,14,2,0,1,2,0,19,1,21,1,2,0,0,67,19,0,0,1,2,0,15,1,4,15,20,3,3,0,0,11,14,0,2,9010.376864,12513.678886,57.603264
723,2,0,0,3,0,0,7,0,0,1,0,0,2,0,3,2,1,3,0,0,0,0,10,6,0,0,0,1,1,2,0,4,1,3,0,1,0,0,5,0,0,1,8150.917743999999,13008.238564,53.367125
724,6,4,1,5,0,0,21,2,4,9,0,0,1,0,2,16,2,8,0,1,0,1,40,9,0,0,0,2,1,1,0,6,19,10,1,4,0,0,6,3,2,0,8559.570609,13005.472644,59.045857
725,4,1,0,2,0,0,7,0,1,0,0,0,0,0,0,4,1,1,0,2,0,1,14,3,0,0,0,0,0,1,0,2,2,4,0,1,0,0,1,1,0,0,8251.632448999999,12826.521024,71.585006
726,7,0,2,1,0,0,7,1,1,1,0,0,0,1,0,5,2,4,0,1,0,0,6,9,0,0,0,2,0,3,2,6,2,4,1,1,1,0,0,2,0,1,9687.741129,13071.697968,58.662599
727,7,4,0,6,0,0,15,1,2,3,0,1,0,0,0,9,2,5,0,2,0,2,37,14,0,0,0,0,0,1,1,4,8,11,0,3,2,0,7,1,0,0,11815.337336,13783.145266,60.054301
728,9,34,2,5,0,0,37,8,0,26,1,1,11,2,2,30,6,12,1,0,5,0,76,30,1,2,0,18,1,10,4,129,10,17,0,7,32,0,19,11,1,0,11720.500021,13188.823993,63.49371
729,3,5,1,4,0,0,17,0,2,8,1,0,0,1,3,19,5,18,0,0,0,3,82,22,0,0,0,1,1,2,0,5,20,20,1,3,2,0,16,3,0,0,11387.28975,13164.174808,53.730461
730,3,5,1,0,0,0,8,0,1,1,1,0,1,0,0,5,1,7,0,1,0,1,15,5,0,1,0,0,0,0,0,3,10,4,0,2,0,0,1,1,1,0,11388.170384000001,13610.147065000001,57.251780000000004
731,0,8,0,4,0,0,18,0,0,5,3,0,3,1,1,20,5,16,0,3,0,1,67,26,0,0,0,3,1,11,0,2,9,25,0,7,4,0,5,5,0,0,11226.863589,12293.798129,54.929947
732,1,3,0,2,0,0,7,1,2,4,1,0,1,0,1,5,2,1,0,0,0,2,23,3,0,0,0,0,0,2,1,8,5,5,0,4,0,2,3,2,1,1,11121.662951,13398.585204,66.381578
733,3,5,0,10,0,0,33,1,2,10,2,0,2,1,3,25,4,22,1,3,0,0,88,22,0,0,1,1,0,22,0,14,22,26,0,18,2,0,22,14,0,0,11092.118982,12847.570117,54.505055000000006
734,6,5,0,0,0,1,18,0,3,7,4,0,1,3,1,18,5,19,1,5,0,3,57,18,3,0,0,1,2,8,3,14,23,18,1,2,3,0,6,14,0,3,10752.681262,12673.208517000001,42.365904
735,5,3,1,5,0,1,4,17,25,2,1,0,16,5,4,16,8,3,2,4,0,2,28,15,18,0,0,1,6,1,26,5,4,4,5,27,24,0,3,0,0,0,10713.947,12332.526407,53.056684
736,19,9,0,10,0,0,28,0,1,10,1,0,5,2,0,26,8,7,0,2,0,2,89,17,0,1,0,2,0,9,15,2,26,35,2,3,2,0,13,12,0,2,10539.563692,13256.955461,62.166431
737,0,5,0,3,1,1,23,2,7,12,3,0,2,0,0,15,2,24,3,1,2,0,73,22,0,0,0,4,0,12,2,2,28,16,0,5,0,1,11,9,0,0,10267.406673000001,12694.65578,48.663234
738,2,2,0,4,1,0,12,0,0,2,3,1,1,1,1,4,1,2,1,0,0,0,15,5,0,0,0,1,1,4,2,3,6,5,0,3,0,0,7,0,0,0,10259.448024,13009.648133,48.324948
739,4,2,1,2,1,0,7,0,3,7,2,0,1,0,0,21,2,6,0,2,0,2,31,20,0,0,0,0,0,1,1,1,5,14,0,3,0,1,6,11,0,0,10242.491576,13323.033675,37.184276000000004
