,Alcam,Ank1,Ankrd55,B3galt1,Cdh9,Chodl,Cux2,Dlx1,Elfn1,Fam19a2,Fezf2,Foxp2,Gad2,Galnt14,Grin3a,Grm5,Kcnip4,Kcnk2,Kcnmb2,Ldb2,Lhx6,Lingo2,Mef2c,Mpped1,Npas1,Nr2f2,Nts,Parm1,Pcdh8,Pde1a,Prox1,Pvalb,Rorb,Satb2,Sema3e,Sez6,Slc32a1,Sv2c,Syndig1,Thsd7a,Tnni3k,Unc13c
437,1,6,0,0,0,0,0,0,4,2,8,0,2,5,2,13,5,1,1,9,1,1,28,30,1,0,0,16,3,7,0,3,0,15,8,14,0,4,0,0,0,0
438,15,9,0,1,0,1,5,1,4,2,7,0,11,2,10,19,2,5,0,1,3,1,23,26,0,0,1,11,5,27,1,6,1,6,1,12,10,2,5,2,0,1
439,2,6,0,5,0,0,3,0,1,4,7,0,3,0,1,13,2,3,0,5,0,0,15,8,0,0,0,3,2,5,0,4,1,5,0,7,2,0,2,0,0,0
440,3,11,0,1,0,1,3,0,0,0,11,0,2,7,2,20,2,1,0,13,0,0,19,27,0,1,1,16,7,4,0,3,0,27,3,12,1,6,5,1,0,0
441,9,7,0,8,1,0,1,0,1,7,11,1,11,4,2,21,2,10,1,13,3,1,70,50,0,0,0,10,1,33,1,8,3,14,13,17,7,0,10,1,0,1
442,5,59,0,7,0,0,10,0,2,4,8,1,27,2,2,29,1,6,3,1,12,1,67,42,0,1,0,23,0,8,1,257,1,13,0,6,75,1,7,6,0,0
443,2,4,0,2,0,1,3,1,1,0,11,1,4,10,3,21,2,2,0,8,1,1,31,28,1,0,1,14,9,18,3,9,0,7,6,17,5,3,4,3,1,0
444,3,9,0,7,1,0,0,0,14,5,19,1,0,5,6,39,3,17,0,13,0,3,26,17,2,1,0,1,1,7,0,2,0,7,14,27,2,6,7,8,1,4
445,0,17,0,2,2,0,1,1,5,1,1,0,8,1,6,8,1,3,1,1,8,0,16,8,0,0,1,2,5,4,0,18,1,7,0,1,17,0,5,4,2,4
446,5,13,1,6,0,0,3,0,4,2,16,0,1,16,5,37,7,2,0,16,0,3,50,48,0,0,3,37,11,64,1,6,0,8,9,34,2,10,9,1,2,0
