"cellID","x","y","z","area","layerData","experiment"
"Cell_172",-1.58295531471727,-0.781898419357114,0,0.000352,0,"smFISHv"
"Cell_173",-1.58156549720829,-0.84742467188575,0,0.000304,0,"smFISHv"
"Cell_174",-0.951300698449884,-0.840335164789322,0,0.000584,0,"smFISHv"
"Cell_175",-0.996587951067007,-0.801300203420333,0,0.000576,0,"smFISHv"
"Cell_176",-1.53995893197113,-0.814227397765699,0,0.000532,0,"smFISHv"
"Cell_177",-1.0517751436653,-0.824587824865396,0,0.000596,0,"smFISHv"
"Cell_178",-1.44136518244253,-0.760417711987723,0,0.000332,0,"smFISHv"
"Cell_179",-1.67208239091533,-0.6771523170062,0,0.00036,0,"smFISHv"
"Cell_180",-1.56036628486909,-0.683278593156125,0,0.000352,0,"smFISHv"
"Cell_181",-1.72562729838223,-0.807707161667588,0,0.001312,0,"smFISHv"
"Cell_182",-1.5276894577829,-0.846283441059754,0,0.001088,0,"smFISHv"
"Cell_183",-1.72008004806288,-0.786522633068344,0,5e-04,0,"smFISHv"
"Cell_184",-1.06150565686145,-0.781318481408515,0,0.001212,0,"smFISHv"
"Cell_185",-0.996825545374049,-0.861280044533459,0,0.000244,0,"smFISHv"
"Cell_186",-1.61278814329992,-0.821948902813797,0,0.000512,0,"smFISHv"
"Cell_187",-1.61951883690932,-0.775970278694227,0,0.000176,0,"smFISHv"
"Cell_188",-1.73452436681966,-0.53300904243775,0,0.000464,0,"smFISHv"
"Cell_189",-1.11539443487623,-0.73282438137713,0,0.000552,0,"smFISHv"
"Cell_190",-1.70506923224642,-0.856936841415093,0,0.000692,0,"smFISHv"
"Cell_191",-1.02172264448662,-0.881245601932008,0,0.000532,0,"smFISHv"
"Cell_192",-1.01471031105178,-0.812180024218116,0,0.000584,0,"smFISHv"
"Cell_193",-1.63498943902612,-0.874044340363776,0,0.00066,0,"smFISHv"
"Cell_194",-1.75211272379068,-0.518963501806523,0,0.000176,0,"smFISHv"
"Cell_195",-1.1170419471723,-0.820379162654412,0,0.000816,0,"smFISHv"
"Cell_196",-1.58549410524844,-0.894168467268995,0,0.000844,0,"smFISHv"
"Cell_197",-1.03473412886656,-0.893334467100509,0,0.00114,0,"smFISHv"
"Cell_198",-1.4629359646541,-0.841181979892281,0,0.001296,0,"smFISHv"
"Cell_199",-1.7011512139991,-0.846688003447502,0,0.00098,0,"smFISHv"
"Cell_200",-1.39399596038875,-0.891208106097288,0,0.001056,0,"smFISHv"
"Cell_201",-1.6322318405122,-0.853825316676888,0,0.000892,0,"smFISHv"
"Cell_202",-1.61846320357861,-0.873588817522443,0,0.000316,0,"smFISHv"
"Cell_203",-0.962645519045321,-0.851063166337914,0,0.000324,0,"smFISHv"
"Cell_204",-1.72079799377643,-0.874344457498918,0,0.000392,0,"smFISHv"
"Cell_205",-1.40666489696358,-0.889388362607252,0,0.001988,0,"smFISHv"
"Cell_206",-1.35542146128604,-0.895103790905115,0,0.000384,0,"smFISHv"
"Cell_207",-1.08793202390702,-0.739874276036645,0,0.000496,0,"smFISHv"
"Cell_208",-1.29259054968459,-0.734845300534865,0,0.000148,0,"smFISHv"
"Cell_209",-1.05172919196267,-0.792627421316733,0,0.000704,0,"smFISHv"
"Cell_210",-1.32938764970433,-0.858504637100157,0,0.000536,0,"smFISHv"
"Cell_211",-1.04702293713964,-0.859262001387852,0,0.000892,0,"smFISHv"
"Cell_212",-1.38174247268887,-0.89136453701092,0,6e-04,0,"smFISHv"
"Cell_213",-1.6581303066802,-0.767038558323667,0,6e-04,0,"smFISHv"
"Cell_214",-1.64241161972656,-0.854320446957164,0,0.000244,0,"smFISHv"
"Cell_215",-1.51856820505868,-0.855458191753245,0,0.000424,0,"smFISHv"
"Cell_216",-1.66955087112749,-0.716599895890681,0,0.001656,0,"smFISHv"
"Cell_217",-1.59912788197161,-0.882985198137979,0,0.000372,0,"smFISHv"
"Cell_218",-1.60487094172563,-0.897412118118354,0,0.000192,0,"smFISHv"
"Cell_219",-1.7537120117337,-0.798562484354364,0,0.000616,0,"smFISHv"
"Cell_220",-1.05066226780742,-0.771444554599722,0,0.000388,0,"smFISHv"
"Cell_221",-1.64004926992369,-0.606148810526702,0,0.000336,0,"smFISHv"
"Cell_222",-1.12266367280418,-0.799000488034881,0,0.000268,0,"smFISHv"
"Cell_223",-0.946924008936592,-0.826391594420507,0,0.000284,0,"smFISHv"
"Cell_224",-1.57582335213826,-0.806939528653646,0,0.000644,0,"smFISHv"
"Cell_225",-1.05220701154205,-0.734341343262159,0,0.000352,0,"smFISHv"
"Cell_226",-1.38754389173193,-0.875652429651791,0,0.00174,0,"smFISHv"
"Cell_227",-1.77711960384648,-0.725425485855704,0,0.000432,0,"smFISHv"
"Cell_228",-0.993845140157505,-0.786695349563196,0,0.000428,0,"smFISHv"
"Cell_229",-1.3517633627256,-0.804794937919128,0,0.000436,0,"smFISHv"
"Cell_230",-1.55003710235217,-0.859119203337355,0,0.00072,0,"smFISHv"
"Cell_231",-1.05801389902026,-0.81388565679087,0,0.000308,0,"smFISHv"
"Cell_232",-1.24039052349382,-0.805856740857843,0,0.000356,0,"smFISHv"
"Cell_233",-1.76667591198714,-0.547213507535755,0,0.000196,0,"smFISHv"
"Cell_234",-1.77904419894727,-0.425150323765491,0,0.00022,0,"smFISHv"
"Cell_235",-1.73204929964992,-0.741747296411506,0,0.000964,0,"smFISHv"
"Cell_236",-1.55378590117218,-0.884328955191805,0,0.000532,0,"smFISHv"
"Cell_237",-1.0977377725562,-0.790803742011944,0,0.000284,0,"smFISHv"
"Cell_238",-1.09589047129239,-0.752175417709687,0,0.000268,0,"smFISHv"
"Cell_239",-2.00311468008835,-0.155399777347407,0,0.001188,0,"smFISHv"
"Cell_240",-1.88941171557878,-0.848952981157725,0,0.00154,0,"smFISHv"
"Cell_241",-1.87108545133792,-0.403766441706069,0,0.000288,0,"smFISHv"
"Cell_242",-1.89813155672773,-0.763509277188528,0,0.000652,0,"smFISHv"
"Cell_243",-1.92168169958598,-0.681763519044965,0,0.000348,0,"smFISHv"
"Cell_244",-1.80287484392385,-0.72050043511472,0,0.001372,0,"smFISHv"
"Cell_245",-2.00408274441312,-0.778985110343688,0,0.001052,0,"smFISHv"
"Cell_246",-2.00535601806533,-0.716026795849833,0,0.00012,0,"smFISHv"
"Cell_247",-1.82429850262971,-0.645399965086822,0,0.000968,0,"smFISHv"
"Cell_248",-1.81733458652468,-0.78817619575427,0,0.001436,0,"smFISHv"
"Cell_249",-1.81675808802339,-0.690317591214322,0,0.000236,0,"smFISHv"
"Cell_250",-1.93127425263688,-0.212876816991481,0,0.00114,0,"smFISHv"
"Cell_251",-1.91694586261721,-0.157607312391311,0,0.000244,0,"smFISHv"
"Cell_252",-1.80342829911529,-0.441295255934412,0,0.000476,0,"smFISHv"
"Cell_253",-1.80426170481306,-0.761944493531069,0,0.000576,0,"smFISHv"
"Cell_254",-1.96897010949174,-0.510821071287674,0,0.002088,0,"smFISHv"
"Cell_255",-1.99006046923768,-0.145347502867599,0,0.002104,0,"smFISHv"
"Cell_256",-1.88395065622711,-0.645635671856355,0,0.000968,0,"smFISHv"
"Cell_257",-1.91904111453794,-0.641897560164319,0,0.000564,0,"smFISHv"
"Cell_258",-2.01997241658302,-0.15920573498597,0,0.000928,0,"smFISHv"
"Cell_259",-1.91456804739211,-0.727735786139309,0,0.000608,0,"smFISHv"
"Cell_260",-2.02779560930736,-0.584105385777,0,0.000592,0,"smFISHv"
"Cell_261",-2.02293521518691,-0.47971113489547,0,0.000996,0,"smFISHv"
"Cell_262",-2.01088535836042,-0.482273054887563,0,0.000668,0,"smFISHv"
"Cell_263",-2.02978428872879,-0.679577553348664,0,0.00324,0,"smFISHv"
"Cell_264",-1.91587780318821,-0.588446036041554,0,0.000224,0,"smFISHv"
"Cell_265",-2.02284638017917,-0.565437554328578,0,0.000872,0,"smFISHv"
"Cell_266",-2.02436479767484,-0.772014898586664,0,0.001108,0,"smFISHv"
