"sample_name","Class_label","Class_id","Class_color","Correlation","DifferenceBetweenTopTwoCorrelations"
"X271","Astro",1,"#665C47",0.621656462977021,0.19246332587665
"X272","L6 PT",11,"#74CAFF",0.954315923741244,0.220717654917653
"X273","L6 PT",11,"#74CAFF",0.961145979023914,0.250319190766296
"X274","L6 IT_1",9,"#96E32C",0.951720189926069,0.134767390336485
"X275","L6 PT",11,"#74CAFF",0.857304862089675,0.0640176477970493
"X276","L6 IT_1",9,"#96E32C",0.783128498076701,0.034388003812771
"X277","L6 IT_1",9,"#96E32C",0.960691452254844,0.171929205263965
"X278","L5 PT_2",8,"#29E043",0.547369523806037,0.0801604244579976
"X279","L6 IT_1",9,"#96E32C",0.967243883776459,0.125268661955765
"X280","L6 PT",11,"#74CAFF",0.895505383066383,0.213950975266397
"X281","CR",2,"#00FF66",0.569195336388955,0.105155129417358
"X282","L5 NP",6,"#008F39",0.852714267920104,0.163196644116592
"X283","Pvalb_2",18,"#ED4C50",0.532512914024781,0.0515582417939288
"X284","VLMC",32,"#6B8059",0.635043175406745,0.00470457815337855
"X285","L6 PT",11,"#74CAFF",0.984385103772226,0.32910477730226
"X286","L6 IT_1",9,"#96E32C",0.958648308261252,0.110222173394563
"X287","Astro",1,"#665C47",0.606929761126767,0.230455859116774
"X288","Vip_3",30,"#FF4DC1",0.835644739030437,0.0203303798547528
"X289","L6 PT",11,"#74CAFF",0.887622530254289,0.213160043477253
"X290","L6 PT",11,"#74CAFF",0.886116369299127,0.233313341507009
"X291","L6 PT",11,"#74CAFF",0.810218536910374,0.2007314314086
"X292","L6 PT",11,"#74CAFF",0.858042036381266,0.0616061881035642
"X293","L6 PT",11,"#74CAFF",0.943647351708513,0.258513580496133
"X294","L6 PT",11,"#74CAFF",0.855409884693875,0.0691248150420041
"X295","VLMC",32,"#6B8059",0.543954097351929,0.00920273206825395
"X296","L6 IT_1",9,"#96E32C",0.924726570686583,0.0582052909083414
"X297","L6 PT",11,"#74CAFF",0.969880160429325,0.266432435416073
"X298","L6 IT_1",9,"#96E32C",0.607303688956378,0.0877739301989631
"X299","L6 PT",11,"#74CAFF",0.932829047617068,0.249631648261542
"X300","L6 PT",11,"#74CAFF",0.927522846397646,0.272400797403375
"X301","L6 PT",11,"#74CAFF",0.956910201508026,0.219191802508982
"X302","L5 PT_1",7,"#0000FF",0.788271281827685,0.126291324817098
"X303","VLMC",32,"#6B8059",0.879099153596222,0.206235034646843
"X304","L6 IT_1",9,"#96E32C",0.967253743936644,0.114441320591611
"X305","L6 PT",11,"#74CAFF",0.771648095218794,0.207318365248855
"X306","L6 IT_1",9,"#96E32C",0.857326379369715,0.0264468757605419
"X307","VLMC",32,"#6B8059",0.491691359818088,0.0889653390969365
"X308","L6 PT",11,"#74CAFF",0.963053298844883,0.269334909738552
"X309","L6 IT_1",9,"#96E32C",0.914566980451113,0.0241868188806551
"X310","L6 IT_1",9,"#96E32C",0.926612808851522,0.0782584786631506
"X311","L6b",12,"#336D99",0.788832980486356,0.0671536225175696
"X312","L6 PT",11,"#74CAFF",0.97164834525757,0.26548473936602
"X313","L6 PT",11,"#74CAFF",0.963203544102112,0.251470100491201
"X314","L6 PT",11,"#74CAFF",0.891510834709907,0.228654591578488
"X315","L6 PT",11,"#74CAFF",0.907957097332151,0.146198780464769
"X316","L6 IT_2",10,"#5100FF",0.794427391131194,0.088173954341458
"X317","L6 PT",11,"#74CAFF",0.978103088719789,0.307935414775003
"X318","Sst_1",23,"#802600",0.703859806761348,0.0479305383085185
"X319","L6 IT_1",9,"#96E32C",0.921341200278791,0.128748553263291
"X320","L6 IT_1",9,"#96E32C",0.914099757242763,0.0224621178527488
"X321","VLMC",32,"#6B8059",0.700300453044921,0.0895681188737382
"X322","VLMC",32,"#6B8059",0.6350549793803,0.00327229922452388
"X323","L6 PT",11,"#74CAFF",0.945702377091726,0.209670646676856
"X324","Pvalb_3",19,"#D6221D",0.824290848590033,0.0233320306948139
"X325","L5 IT",5,"#00FF00",0.742344734592005,0.0210271439462388
"X326","L6 PT",11,"#74CAFF",0.955135093336133,0.237399677254369
"X327","Astro",1,"#665C47",0.540895693067714,0.0423604913537117
"X328","L6 PT",11,"#74CAFF",0.952288959770418,0.237102400054452
"X329","L6 PT",11,"#74CAFF",0.954346893068067,0.261643366070603
"X330","L6 PT",11,"#74CAFF",0.966401520063705,0.240846574351012
"X331","L6 PT",11,"#74CAFF",0.578212534003319,0.0104611989660428
"X332","Sst_2",24,"#FFDF11",0.896743477600042,0.133060417131211
"X333","L6 PT",11,"#74CAFF",0.751621848522772,0.123733374000214
"X334","L6 PT",11,"#74CAFF",0.900489591206963,0.243693285825832
"X335","L6 PT",11,"#74CAFF",0.981650537042333,0.31093173066527
"X336","Pvalb_2",18,"#ED4C50",0.942847970109871,0.123975066381137
"X337","Sst_2",24,"#FFDF11",0.739931968812755,0.0280441419714431
"X338","Astro",1,"#665C47",0.633770843344652,0.0223431993211283
"X339","L6 PT",11,"#74CAFF",0.968110000881856,0.239805105399237
"X340","L6 PT",11,"#74CAFF",0.978005181940021,0.35943937462386
"X341","L6 PT",11,"#74CAFF",0.85368913220272,0.0522580817698761
"X342","L6b",12,"#336D99",0.833022387309731,0.0219675587146765
"X343","L6 PT",11,"#74CAFF",0.636795284958484,0.0462579711414576
"X344","L6 PT",11,"#74CAFF",0.935729483034364,0.28020105401184
"X345","L6b",12,"#336D99",0.630064003603173,0.0425052220899809
"X346","Sst_3",25,"#BF9F00",0.843313173069521,0.0918032062180785
"X347","L6 IT_1",9,"#96E32C",0.959509421784951,0.149647048760339
"X348","L6 IT_1",9,"#96E32C",0.851128345265051,0.180716089745915
"X349","L6 IT_1",9,"#96E32C",0.968654658211988,0.121707937865077
"X350","L6 IT_1",9,"#96E32C",0.971521605540911,0.17255712178447
"X351","L6 IT_2",10,"#5100FF",0.646534269096114,0.0467544002362223
"X352","L6 PT",11,"#74CAFF",0.861264749402978,0.0688850991616912
"X353","L6 PT",11,"#74CAFF",0.890480309678351,0.232958281375395
"X354","L6 IT_2",10,"#5100FF",0.868010393521992,0.20344032119326
"X355","Pvalb_2",18,"#ED4C50",0.891255707943577,0.0367075403285505
"X356","L6 PT",11,"#74CAFF",0.97384934039118,0.280416452382112
"X357","L6 PT",11,"#74CAFF",0.844888523131712,0.0499184812984925
"X358","L5 IT",5,"#00FF00",0.798480902403829,0.00488961330845261
"X359","Pvalb_3",19,"#D6221D",0.83824573298317,0.0347259984245321
"X360","L6b",12,"#336D99",0.723276989819449,0.0513807066999508
"X361","Vip_1",28,"#7779BF",0.737562143821414,0.161409996634659
"X362","L6 PT",11,"#74CAFF",0.959336215559555,0.254987480717966
"X363","Sst_2",24,"#FFDF11",0.765512159408511,0.0537145199748102
"X364","VLMC",32,"#6B8059",0.634269191673095,0.129993076227458
"X365","L6 PT",11,"#74CAFF",0.849634930626678,0.238480721625054
"X366","L6 PT",11,"#74CAFF",0.862143889541579,0.0751261053870675
"X367","L6 PT",11,"#74CAFF",0.982969373183159,0.324835620754864
"X368","L6 PT",11,"#74CAFF",0.651033142166484,0.0463716686528979
"X369","L6 IT_2",10,"#5100FF",0.640394156395355,0.0700232302123001
"X370","L6 IT_1",9,"#96E32C",0.949205931480435,0.203543824555288
"X371","L6 PT",11,"#74CAFF",0.738855478894226,0.142670077830384
"X372","L6 IT_1",9,"#96E32C",0.867444298540649,0.0943646450826027
"X373","L6 PT",11,"#74CAFF",0.738630241985482,0.0483078009504685
"X374","L5 IT",5,"#00FF00",0.66322847107392,0.0820465967165245
"X375","L6 PT",11,"#74CAFF",0.881685294907767,0.194332104889768
"X376","L6 PT",11,"#74CAFF",0.597666096753389,0.00657272854666213
"X377","Pvalb_2",18,"#ED4C50",0.679044334420045,0.000223140430049784
"X378","L6 PT",11,"#74CAFF",0.941181932459486,0.190672312948362
"X379","L6 PT",11,"#74CAFF",0.981038356023914,0.27774699444207
"X380","L6 PT",11,"#74CAFF",0.98710756564943,0.306015817462547
"X381","L6 PT",11,"#74CAFF",0.891563195669952,0.227873030525855
"X382","L6 PT",11,"#74CAFF",0.864483681158491,0.0747139579399154
"X383","L6 PT",11,"#74CAFF",0.967261749459602,0.289003750131979
"X384","L5 PT_2",8,"#29E043",0.656994279450083,0.119568577737716
"X385","L6 PT",11,"#74CAFF",0.854949649533574,0.0730378702711543
"X386","Pvalb_2",18,"#ED4C50",0.652759513232799,0.0801556859282849
"X387","L6 IT_1",9,"#96E32C",0.843494190481006,0.0742951319766549
"X388","L6 PT",11,"#74CAFF",0.92822683639897,0.156182533711316
"X389","Pvalb_3",19,"#D6221D",0.813771182976186,0.0523666865306357
"X390","VLMC",32,"#6B8059",0.682322963590635,0.000549793238270535
"X391","CR",2,"#00FF66",0.646967085495006,0.0954360382418722
"X392","L6 PT",11,"#74CAFF",0.867774923445859,0.0794707901108714
"X393","L6 PT",11,"#74CAFF",0.975865118465905,0.281588528750122
"X394","L6 PT",11,"#74CAFF",0.669217139961508,0.0828354437883148
"X395","L6 PT",11,"#74CAFF",0.956502130333371,0.266293261971878
"X396","L6 PT",11,"#74CAFF",0.876371623895507,0.0903842061387682
"X397","L6 IT_1",9,"#96E32C",0.926006880352917,0.0896291880000385
"X398","L6 PT",11,"#74CAFF",0.951665311041241,0.253634102738938
"X399","L5 IT",5,"#00FF00",0.818347888451357,0.00100508544138334
"X400","L5 IT",5,"#00FF00",0.775522728615715,0.145229712033298
"X401","L6b",12,"#336D99",0.75920182897742,0.0867354228507188
"X402","L6 PT",11,"#74CAFF",0.847213844738219,0.0532298903514592
"X403","L6 PT",11,"#74CAFF",0.953539461851518,0.239621644874978
"X404","Astro",1,"#665C47",0.950685778238957,0.407639756737107
"X405","L6 PT",11,"#74CAFF",0.956157626551246,0.238344843421781
"X406","Lamp5_2",14,"#FFA388",0.55971886922479,0.157027602155596
"X407","Pvalb_3",19,"#D6221D",0.792366240159604,0.00492882713602982
"X408","L5 PT_2",8,"#29E043",0.679355570674343,0.0427350993510014
"X409","VLMC",32,"#6B8059",0.734113586705617,0.0600010966842994
"X410","L6 IT_1",9,"#96E32C",0.962395707138989,0.112019664762513
"X411","L6 PT",11,"#74CAFF",0.972998645892262,0.314459361770314
"X412","Astro",1,"#665C47",0.630408079241176,0.00304323420993746
"X413","L6b",12,"#336D99",0.818433371189235,0.0769146284486012
"X414","Pvalb_2",18,"#ED4C50",0.837103625143347,0.0774787608094243
"X415","L5 IT",5,"#00FF00",0.685139142052129,0.0796860677436191
"X416","L5 IT",5,"#00FF00",0.729085230218068,0.00411653343433682
"X417","L6 PT",11,"#74CAFF",0.955661333354338,0.247269568170918
"X418","Pvalb_2",18,"#ED4C50",0.815433467630533,0.0360224373814723
"X419","VLMC",32,"#6B8059",0.352931253372356,0.130936406565037
"X420","L5 NP",6,"#008F39",0.675768376411789,0.075401796746867
"X421","Pvalb_3",19,"#D6221D",0.634123632710858,0.0468841060694846
"X422","L6 IT_1",9,"#96E32C",0.898363626312441,0.113169092778143
"X423","L6 PT",11,"#74CAFF",0.925906944542523,0.196957687213137
"X424","L6 PT",11,"#74CAFF",0.843243636495172,0.0680477161653648
"X425","L5 NP",6,"#008F39",0.522948801952358,0.0335135456803882
"X426","L6b",12,"#336D99",0.782460626851683,0.0540030988944538
"X427","L6 PT",11,"#74CAFF",0.968612512010856,0.263821102768463
"X428","L6 IT_1",9,"#96E32C",0.952192976203877,0.103090469435713
"X429","L6 PT",11,"#74CAFF",0.856493572091428,0.0543095938700773
"X430","L6 IT_1",9,"#96E32C",0.947824602042069,0.0704570230297115
"X431","L6 PT",11,"#74CAFF",0.97780542484422,0.271596189906184
"X432","L6 PT",11,"#74CAFF",0.927940961087239,0.186750994200123
"X433","L6b",12,"#336D99",0.770186071816676,0.116906734186216
"X434","L5 IT",5,"#00FF00",0.662158423095197,0.12920828679947
"X435","VLMC",32,"#6B8059",0.64481125519941,0.0484069244506943
"X436","L6 PT",11,"#74CAFF",0.818778391407935,0.219093311559769
"X437","Astro",1,"#665C47",0.594849506487144,0.137973180716664
"X438","L6 IT_1",9,"#96E32C",0.912096746061591,0.0361352894640866
"X439","L6b",12,"#336D99",0.76585843862788,0.0830971946505462
"X440","L6 PT",11,"#74CAFF",0.953175395100745,0.249293129336374
"X441","Pvalb_2",18,"#ED4C50",0.834563871769591,0.0786179307085909
"X442","Astro",1,"#665C47",0.73775143051967,0.249565356577556
"X443","L6 PT",11,"#74CAFF",0.947667532315358,0.21653415967982
"X444","Pvalb_2",18,"#ED4C50",0.91541270804538,0.112650293579201
"X445","L6 IT_1",9,"#96E32C",0.961254879474989,0.128140428364022
"X446","L6b",12,"#336D99",0.815800194224339,0.0628289082707322
"X447","Pvalb_2",18,"#ED4C50",0.506087903573661,0.00514729891617127
"X448","L6 PT",11,"#74CAFF",0.964967811615061,0.251868245233148
"X449","L6 PT",11,"#74CAFF",0.891432659058097,0.243487282956659
"X450","L6 IT_2",10,"#5100FF",0.834841498537404,0.137124502040356
"X451","L6 PT",11,"#74CAFF",0.975149403957851,0.284482466486997
"X452","L6 IT_1",9,"#96E32C",0.920025835137406,0.038547339419157
"X453","Pvalb_2",18,"#ED4C50",0.844925113007372,0.058528086616759
"X454","Astro",1,"#665C47",0.603065822522531,0.00290702477576021
"X455","L6 PT",11,"#74CAFF",0.850146265115896,0.0598999978787552
"X456","L6 PT",11,"#74CAFF",0.983085573994888,0.321712952468543
"X457","L6 PT",11,"#74CAFF",0.789271468382387,0.0868936922599034
"X458","L6 IT_2",10,"#5100FF",0.845920393589257,0.188886275434258
"X459","L6 PT",11,"#74CAFF",0.885134369632991,0.215925890007446
"X460","L6 PT",11,"#74CAFF",0.825089120105016,0.22081357761107
"X461","L5 IT",5,"#00FF00",0.677757358966014,0.0755292464993766
"X462","L6b",12,"#336D99",0.771557666464003,0.0307773210812881
"X463","L6 IT_1",9,"#96E32C",0.91993190640185,0.0614114462017754
"X464","L6 PT",11,"#74CAFF",0.903338057850716,0.190211476977889
"X465","L6 PT",11,"#74CAFF",0.909356464632006,0.29729894326152
"X466","L6 IT_1",9,"#96E32C",0.917022115013948,0.0335688394973974
"X467","L6 PT",11,"#74CAFF",0.821639854758206,0.208200611124874
"X468","Sst_1",23,"#802600",0.860110163401545,0.0571232115659701
"X469","L6 PT",11,"#74CAFF",0.833743819609049,0.0971089174941492
"X470","L6 IT_1",9,"#96E32C",0.95156332799692,0.1208227573124
"X471","L6 PT",11,"#74CAFF",0.93851686731968,0.250299891445005
"X472","L5 PT_1",7,"#0000FF",0.615750377575686,0.0141161965563374
"X473","L6 IT_2",10,"#5100FF",0.868544223254476,0.203711478363811
"X474","L6 IT_1",9,"#96E32C",0.877814488734409,0.169039378060632
"X475","L6 PT",11,"#74CAFF",0.8881808841022,0.221268475701599
"X476","L6 IT_1",9,"#96E32C",0.861212802807834,0.0794114163550588
"X477","L6 PT",11,"#74CAFF",0.887303191276833,0.299202223430323
"X478","L5 IT",5,"#00FF00",0.81623187220569,0.072493174702588
"X479","Pvalb_2",18,"#ED4C50",0.684290788532973,0.00575756510518655
"X480","L6 IT_1",9,"#96E32C",0.84471688200328,0.173684870455023
"X481","VLMC",32,"#6B8059",0.993265797064211,0.337799007574945
"X482","L6 PT",11,"#74CAFF",0.550585780347759,0.0763838463205521
"X483","L6b",12,"#336D99",0.641402462334601,0.00372195062554048
"X484","L6 PT",11,"#74CAFF",0.933915017026087,0.146132572757573
"X485","L5 PT_2",8,"#29E043",0.881658230602569,0.252149238804479
"X486","L5 PT_2",8,"#29E043",0.733232956724849,0.0829540876251275
"X487","L6 PT",11,"#74CAFF",0.977344238050296,0.346122235066588
"X488","L6 PT",11,"#74CAFF",0.965357455231504,0.240422072103484
"X489","VLMC",32,"#6B8059",0.732063447115736,0.0479466078191625
"X490","L6 PT",11,"#74CAFF",0.784017385101544,0.0763799048582003
"X491","L6 IT_1",9,"#96E32C",0.899197685363141,0.0286362164346234
"X492","L5 IT",5,"#00FF00",0.983350537978864,0.167497169155512
"X493","L6 PT",11,"#74CAFF",0.968020142538523,0.276675642510593
"X494","Pvalb_3",19,"#D6221D",0.778586361708767,0.0327688172673684
"X495","L6 IT_1",9,"#96E32C",0.960255887156337,0.155592069619224
"X496","L6 PT",11,"#74CAFF",0.886944386769099,0.215368154011075
"X497","Astro",1,"#665C47",0.573725436515172,0.163356500587188
"X498","L5 PT_2",8,"#29E043",0.972665042037922,0.337743868472285
"X499","L6 PT",11,"#74CAFF",0.75789594492371,0.062512743454855
"X500","L6 PT",11,"#74CAFF",0.822679835028032,0.0619299114702325
"X501","VLMC",32,"#6B8059",0.530043510466483,0.00674758339170911
"X502","L6 PT",11,"#74CAFF",0.668408207486351,0.105157476083938
"X503","Pvalb_2",18,"#ED4C50",0.646716718540034,0.0657114626666607
"X504","L6b",12,"#336D99",0.844437122298522,0.00324832226973504
"X505","L6 PT",11,"#74CAFF",0.980696245373558,0.296855659833049
"X506","L6 IT_1",9,"#96E32C",0.936030718580782,0.113174264233252
"X507","L6 PT",11,"#74CAFF",0.980674619238419,0.299522685862678
"X508","L6 IT_1",9,"#96E32C",0.918663563611343,0.0392122420717641
"X509","Sst_1",23,"#802600",0.864859165987972,0.111343116169234
"X510","L6 IT_1",9,"#96E32C",0.903551015810157,0.117217378267275
"X511","Pvalb_2",18,"#ED4C50",0.827187324615241,0.00361488407362232
"X512","L6 PT",11,"#74CAFF",0.972863407357875,0.288365189173438
"X513","Sst_2",24,"#FFDF11",0.69068802294464,0.0708268043491187
"X514","L6 PT",11,"#74CAFF",0.948110656846983,0.219718453704529
"X515","L6 PT",11,"#74CAFF",0.860388895563452,0.0807521834574577
"X516","L6b",12,"#336D99",0.791053344178158,0.07303744360563
"X517","L6 PT",11,"#74CAFF",0.973095376520579,0.301109214417686
"X518","L6 IT_1",9,"#96E32C",0.926630070251938,0.0951823505423307
"X519","L6 PT",11,"#74CAFF",0.922954569696155,0.167535694195003
"X520","L6 PT",11,"#74CAFF",0.936354791473922,0.363721426006392
"X521","L6 PT",11,"#74CAFF",0.831249375406947,0.238177534448302
"X522","L6 PT",11,"#74CAFF",0.986947413184456,0.314922055368541
"X523","Sst_3",25,"#BF9F00",0.930525416152531,0.155040414117062
"X524","L5 IT",5,"#00FF00",0.891604098055532,0.180620494925381
"X525","L6 IT_2",10,"#5100FF",0.788027964100814,0.0846102849078869
"X526","L6 IT_1",9,"#96E32C",0.901830358307698,0.0175252448210619
"X527","L6 PT",11,"#74CAFF",0.879570135053041,0.111622200293411
"X528","L6 PT",11,"#74CAFF",0.686078445402083,0.0622905569206722
"X529","L6 IT_1",9,"#96E32C",0.732760386103648,0.0233328184003002
"X530","L6 PT",11,"#74CAFF",0.676221484869902,0.0432290949843871
"X531","L6 PT",11,"#74CAFF",0.955428501309611,0.239304561926128
"X532","Sst_1",23,"#802600",0.68748695797612,0.0783803422304848
"X533","L6 IT_1",9,"#96E32C",0.875057818336497,0.0242693574721593
"X534","L6 IT_2",10,"#5100FF",0.689077548233643,0.0617506772835497
"X535","L6 PT",11,"#74CAFF",0.921340986475983,0.256227522727194
"X536","L5 PT_2",8,"#29E043",0.797367450808203,0.057732749830002
"X537","L5 IT",5,"#00FF00",0.971952355072669,0.15450172206339
"X538","Pvalb_2",18,"#ED4C50",0.88682418930034,0.115920364376111
"X539","L6 PT",11,"#74CAFF",0.969463192222506,0.278793863838376
"X540","L6b",12,"#336D99",0.869070025972783,0.0926371445024496
"X541","L6 IT_1",9,"#96E32C",0.967972178472481,0.129660214444834
"X542","L6 PT",11,"#74CAFF",0.904521496832611,0.147702982040618
"X543","L5 NP",6,"#008F39",0.745165748099774,0.164451757697148
"X544","VLMC",32,"#6B8059",0.627782363851554,0.0224944550074483
"X545","Pvalb_3",19,"#D6221D",0.824951671361691,0.0549060515645273
"X546","L5 IT",5,"#00FF00",0.970507422870233,0.144341420359551
"X547","L6b",12,"#336D99",0.733166760591957,0.00486570286474974
"X548","L6b",12,"#336D99",0.859940063148197,0.117613227484909
"X549","L5 PT_2",8,"#29E043",0.812195451464184,0.255881818146568
"X550","L5 NP",6,"#008F39",0.794440184724566,0.173116121133768
"X551","L6 IT_1",9,"#96E32C",0.880273254552775,0.108233419125067
"X552","Pvalb_2",18,"#ED4C50",0.750543285642082,0.0458487908489659
"X553","L6 PT",11,"#74CAFF",0.92254481047717,0.183770841749323
"X554","L6 IT_1",9,"#96E32C",0.885310663522501,0.120019285597553
"X555","L6 IT_1",9,"#96E32C",0.657298904739214,0.0376732550244274
"X556","L5 PT_1",7,"#0000FF",0.667530347424301,0.0597903625305389
"X557","L5 IT",5,"#00FF00",0.951618049426056,0.197692008090056
"X558","L6 IT_2",10,"#5100FF",0.679816799691123,0.0564407242756526
"X559","L6 PT",11,"#74CAFF",0.984515678374656,0.299591768888827
"X560","L6 PT",11,"#74CAFF",0.972541490068096,0.271607839682933
"X561","L6 IT_2",10,"#5100FF",0.8522176028993,0.17447597588876
"X562","L6 PT",11,"#74CAFF",0.937794871016569,0.235823353206189
"X563","L6 IT_1",9,"#96E32C",0.96957034726559,0.175691919220549
"X564","L6 IT_2",10,"#5100FF",0.830343287630254,0.0110403071935763
"X565","Sncg_1",21,"#A700FF",0.626729780240229,0.0452406807643071
"X566","L6 IT_2",10,"#5100FF",0.7305105923981,0.12964908886431
"X567","L5 PT_2",8,"#29E043",0.717149449725459,0.102217347919941
"X568","L4",4,"#00979D",0.65802699698133,0.114532496292212
"X569","Sst_5",27,"#FFFF00",0.938004189203529,0.00638713436466465
"X570","Astro",1,"#665C47",0.690939827063493,0.285116865074117
"X571","CR",2,"#00FF66",0.489663953268057,0.130979431729987
"X572","Pvalb_2",18,"#ED4C50",0.860912043565614,0.0936926063289794
"X573","L6 PT",11,"#74CAFF",0.982017477667502,0.280976188565841
"X574","L6b",12,"#336D99",0.83381833486542,0.140020217549942
"X575","L6 IT_2",10,"#5100FF",0.876896199088182,0.193451410520827
"X576","L6 PT",11,"#74CAFF",0.94802108433101,0.226543058228384
"X577","L6 IT_1",9,"#96E32C",0.920949546301827,0.136451735476582
"X578","CR",2,"#00FF66",0.710837970845343,0.144924590244933
"X579","L6 IT_1",9,"#96E32C",0.936824868971449,0.0887940872313435
